Unnamed: 0,userName,text,tweetcreatedts,tweet_clean,tweet_english
0,yeni chandra,mantap bermanfaat,06/12/2022 16:50,mantap bermanfaat,Great useful
1,Fans Sianida,Tidak menyelesaikan masalah,05/12/2022 09:57,Tidak menyelesaikan masalah,Not solving problems
2,Yogi Sugiarto,Semoga aplikasi ini bisa membantu menyelesaikan permasalahan,30/11/2022 12:24,Semoga aplikasi ini bisa membantu menyelesaikan permasalahan,Hopefully this application can help solve problems
3,PUTRA WALDI S,Laporan sudah sesuai syarat dan ketentuan.sudah lama sekali saya menunggu tidak ada tindak lanjut dan solusi.,30/11/2022 06:47,Laporan sudah sesuai syarat dan ketentuan.sudah lama sekali saya menunggu tidak ada tindak lanjut dan solusi.,The report is in accordance with the terms and conditions. It's been a long time ago I waited for no follow -up and solution.
4,Amin Hidayat,Internal Server Error....Internal Server Error....Internal Server Error.... Hmmmmm.......,29/11/2022 03:32,Internal Server Error....Internal Server Error....Internal Server Error.... Hmmmmm.......,Internal Server Error .... Internal Server Error .... Internal Server Error .... hmmmmm .......
5,Hendra Mulya,Ga bisa login,28/11/2022 18:33,Ga bisa login,Can't log in
6,Evan Jayanto (Keyzha Mart),Semoga dipercepat laporan,27/11/2022 16:39,Semoga dipercepat laporan,Hopefully the report accelerated
7,riyadh budi santoso,Aplikasinya tolong diperbaharui n juga dipermudah....,27/11/2022 07:02,Aplikasinya tolong diperbaharui n juga dipermudah....,The application please update n is also facilitated ....
8,Reihan Ramadhan,"Laporan susah dikirim, capek ngetiknya,, mohon maaf saya hapus aplnya, tdk bermanfaat bagi saya??",25/11/2022 13:30,"Laporan susah dikirim, capek ngetiknya,, mohon maaf saya hapus aplnya, tdk bermanfaat bagi saya??","The report is hard to send, tired typing ,, sorry I delete the app, not useful for me ??"
9,Karyadi Karyadi,"Sampah,,,baru daftar pas login kata sandi salah,,sandi udh benar eh keterangan salah",25/11/2022 04:56,"Sampah,,,baru daftar pas login kata sandi salah,,sandi udh benar eh keterangan salah","Garbage ,,, just list when login the password is wrong ,, the password is correct eh wrong statement"
10,dinda dinda,"Knpa loading mulu pas bukk aplikasinya, tolong cepat di perbaiki aplikasinya",25/11/2022 03:31,"Knpa loading mulu pas bukk aplikasinya, tolong cepat di perbaiki aplikasinya","Why loading first when opening the application, please improve the application quickly"
11,Narindya Mentari,Tolong banget aplikasinya kenapa ini? Nungguin aplikasinya loading sampe mau nangis tetap gak muncul-muncul. Semoga bisa ditingkatkan lagi,23/11/2022 07:39,Tolong banget aplikasinya kenapa ini? Nungguin aplikasinya loading sampe mau nangis tetap gak muncul-muncul. Semoga bisa ditingkatkan lagi,"Why is this application really?Wait for the application to loading until I want to cry, it still doesn't appear.Hopefully it can be increased again"
12,Nopirman Syahputra,"Oke La, Jika Admin Penghubung, Pejabat Penghubung dan Admin Instansi dapat menjalankan fungsinya dengan baik",22/11/2022 07:07,"Oke La, Jika Admin Penghubung, Pejabat Penghubung dan Admin Instansi dapat menjalankan fungsinya dengan baik","Okay la, if the liaison admin, the liaison official and the agency admin can carry out their functions well"
13,dedi jannatan,moga bisa membantu,19/11/2022 10:05,moga bisa membantu,Hope it can help
14,Yudhi irawan,Padahal sinyal bagus. Tapi sering error,17/11/2022 04:44,Padahal sinyal bagus. Tapi sering error,Even though the signal is good.But often errors
15,Agus saputra TV,mantab langsung d respone oleh pihak terkait,14/11/2022 00:41,mantab langsung d respone oleh pihak terkait,mantab directly d response by related parties
16,Dede Muryadi,"Diminta daftar.. Okeh sy daftar, begitu login username dan password di bilang salah dan ga bs login... Bagaimana mau lapor pengaduan?????",11/11/2022 16:17,"Diminta daftar.. Okeh sy daftar, begitu login username dan password di bilang salah dan ga bs login... Bagaimana mau lapor pengaduan?????","Asked to register .. ok I registered, once logged in the username and password said it was wrong and could not log in ... how do you want to report the complaint ?????"
17,Barack Arsyad Kamayel,"Aplikasi formalitas , tidak memberikan pelayanan terbaik",09/11/2022 09:41,"Aplikasi formalitas , tidak memberikan pelayanan terbaik","Formality application, does not provide the best service"
18,Syafrin Piliang,"Tadi dah Saya kasi Bintang 5 tp gak jd krna Aplikasi di Instal Error truss,..ada apa dgn SP4N LAPOR,..??",07/11/2022 17:04,"Tadi dah Saya kasi Bintang tp gak jd krna Aplikasi di Instal Error truss,..ada apa dgn SP4N LAPOR,..??",I already gave a star but I didn't have to be the application in installing an error truss ... what's up with SP4N reporting ... ??
19,Ahmad Airlangga,Percuma lapor,03/11/2022 16:49,Percuma lapor,It's useless to report
20,Rangga Aditya,Laporannya gak pernah di tindak lanjuti.paraah percuma pke aplikasi ini tidak berguna,02/11/2022 01:51,Laporannya gak pernah di tindak lanjuti.paraah percuma pke aplikasi ini tidak berguna,The report is never followed up.
21,Oman Olop,Wellcome to +62 laporan hanya angin berlalu tak pernah ter realisasi. Udah biasa,01/11/2022 14:14,Wellcome to +62 laporan hanya angin berlalu tak pernah ter realisasi. Udah biasa,Welcome to +62 reports only the wind passed never realized.It's normal
22,Suprapto,"8 hari lapor di sini, belum ada tanggapan dari instansi terkait,",27/10/2022 03:46,"hari lapor di sini, belum ada tanggapan dari instansi terkait,","LAPOR Day here, there has been no response from the relevant agencies,"
23,XERGANIV EL,"tidak ada tindakan nyata dari setiap laporan, aplikasi ga berfaedah...",24/10/2022 04:32,"tidak ada tindakan nyata dari setiap laporan, aplikasi ga berfaedah...","There is no concrete action from every report, the application is not useful ..."
24,Rizki Wahyu,tidak ada tindak lanjut,23/10/2022 16:15,tidak ada tindak lanjut,There is no follow -up
25,Landy R M,laporan tidak di tanggapi dan saat kirim laporan selalu error atau tidak bisah kirim,23/10/2022 03:34,laporan tidak di tanggapi dan saat kirim laporan selalu error atau tidak bisah kirim,The report is not responded and when sending the report is always an error or no one can send
26,M Badrussalam,Saya apresiasi terhadap pihak terkait yang membuat dan memperjuangkan aspirasi-aspirasi seluruh lapisan masyarakat.,22/10/2022 22:28,Saya apresiasi terhadap pihak terkait yang membuat dan memperjuangkan aspirasi-aspirasi seluruh lapisan masyarakat.,I appreciate the related parties who make and fight for the aspirations of all levels of society.
27,The Joe,"Apps bodoh di back sekali ke back semua, saya tau gaji nya kecil tpi tunjangannya besar knp pengembangannya udh pakai uang rakyat kok masih tetap bodoh gitu",21/10/2022 11:43,"Apps bodoh di back sekali ke back semua, saya tau gaji nya kecil tpi tunjangannya besar knp pengembangannya udh pakai uang rakyat kok masih tetap bodoh gitu","Apps stupid back to all back to all, I know the salary is small but the allowance is big, because the development is already using public money, how come it's still stupid"
28,Kabur kanginan,Sy butuh betul,20/10/2022 15:17,Sy butuh betul,I need right
29,MUHAMMAD JAOHARUDDIN,"Pernah bikin laporan beberapa kali di tahun 2021 tapi sampai saat ini laporan tsb tidak pernah di tanggapi. Jika memang pemerintah serius dalam menanggapi segala aspirasi rakyatnya, seharusnya bisa lebih tanggap dalam setiap laporan yang diberikan oleh masyarakat. Kalo seperti ini seolah-olah hanya mengakali rakyat. Di bilangnya masyarakat disuruh lapor tp laporannya malah tidak di tindak-lanjuti. Payah",20/10/2022 13:03,"Pernah bikin laporan beberapa kali di tahun tapi sampai saat ini laporan tsb tidak pernah di tanggapi. Jika memang pemerintah serius dalam menanggapi segala aspirasi rakyatnya, seharusnya bisa lebih tanggap dalam setiap laporan yang diberikan oleh masyarakat. Kalo seperti ini seolah-olah hanya mengakali rakyat. Di bilangnya masyarakat disuruh lapor tp laporannya malah tidak di tindak-lanjuti. Payah","Never made a report several times in the year but until now the report has never been responded to.If indeed the government is serious in responding to all the aspirations of its people, it should be more responsive in every report given by the community.If it's like this it seems to only outsmart the people.He said that the community was told to report but the report was not followed up.Bad"
30,Irfan Rakasiwi,Gmna mau ngadu kalau aplikasinya saja gk berfungsi,20/10/2022 03:20,Gmna mau ngadu kalau aplikasinya saja gk berfungsi,How do you want to complain if the application is not functioning
31,Yustinus Buulolo,Aplikasi yang sangat bermanfaat,20/10/2022 02:15,Aplikasi yang sangat bermanfaat,Very useful application
32,Ahmadi Adi,"Aplikasi ini bukan resmi milik pemerintah, hanya mirror aplikasi pemerintah dan hanya bikin HP bermasalah baiknya langsung ke website saja SP4N LAPOR",19/10/2022 00:10,"Aplikasi ini bukan resmi milik pemerintah, hanya mirror aplikasi pemerintah dan hanya bikin HP bermasalah baiknya langsung ke website saja SP4N LAPOR","This application is not officially owned by the government, only mirror government applications and only make cellphones with problems directly directly to the website SP4N report"
33,Steven Philip,Hiioriol niir KK orang yu ang op kutimal,15/10/2022 10:14,Hiioriol niir KK orang yu ang op kutimal,Hioriori niir kk people yu ang op queuing
34,chamvredx “To” Suto,Internal server error saat kirim laporan,15/10/2022 10:02,Internal server error saat kirim laporan,Internal Server Error When sending the report
35,indra permana,"Alih-alih ingin membantu masyarakat yang memerlukan respon cepat dan akurat bahkan hanya sekedar tanggapan informasi, namun tidak bisa membantu lebih lanjut di tahap akhir pelaporan terkait tahapan proses aplikasi ini. Terlebih untuk di tindak lanjuti lebih jauh dan memuaskan. Selamat datang di dunia ""PR4NK"".",11/10/2022 16:43,"Alih-alih ingin membantu masyarakat yang memerlukan respon cepat dan akurat bahkan hanya sekedar tanggapan informasi, namun tidak bisa membantu lebih lanjut di tahap akhir pelaporan terkait tahapan proses aplikasi ini. Terlebih untuk di tindak lanjuti lebih jauh dan memuaskan. Selamat datang di dunia ""PR4NK"".","Instead of wanting to help people who need fast and accurate responses even just just information responses, but cannot help further in the final stages of reporting related to the stages of this application process.Especially to follow up further and satisfying.Welcome to the world of ""PR4nk""."
36,Imam Subakti,B*r*k,11/10/2022 02:48,B*r*k,B*R*K
37,Nawang Kayyisah,"Lapor tidak seperti dulu, awal ada... sekarang proses laporan tidak berjalan.. payah! Padahal laporan begitu penting,seolah formalitas aja",06/10/2022 04:23,"Lapor tidak seperti dulu, awal ada... sekarang proses laporan tidak berjalan.. payah! Padahal laporan begitu penting,seolah formalitas aja","Report not like it used to be, the beginning was ... now the report process does not work ... bad!Even though the report is so important, as if formality"
38,I ?2?_NY,"Instansi kepolisian paling parah ,kadang sampai 1 tahun laporan belum juga diproses",04/10/2022 15:35,"Instansi kepolisian paling parah ,kadang sampai tahun laporan belum juga diproses","The police agency is the most severe, sometimes until the year the report has not been processed"
39,PANWASCAM TRANGKIL,Aplikasi tidak bisa di gunakan,04/10/2022 13:55,Aplikasi tidak bisa di gunakan,The application cannot be used
40,Roni Munandar,keren,03/10/2022 07:37,keren,cool
41,Ridwan Adriyani,Maju terus.,02/10/2022 13:42,Maju terus.,Keep forward.
42,Muhammad Subli,Aplikasi belum sempurna,29/09/2022 13:17,Aplikasi belum sempurna,The application is not perfect
43,Loxi Blue,Apk lemot,29/09/2022 05:58,Apk lemot,APK slow
44,chiank young,Jaringan penuh tapi muter terus susah dikirim laporannya,29/09/2022 04:47,Jaringan penuh tapi muter terus susah dikirim laporannya,Full network but it continues to be difficult to send reports
45,Eduard Ndraha,"Aplikasi tak guna, sudah daftar. Pas mau masuk tidak bisa.nama pengguna/password salah,padahal sudah benar dimasukkan",27/09/2022 14:31,"Aplikasi tak guna, sudah daftar. Pas mau masuk tidak bisa.nama pengguna/password salah,padahal sudah benar dimasukkan","The application is not useful, already registered.When I want to enter it can't. The name of the user/password is wrong, even though it is correct"
